MATU,MALOAI,TENTU,DONGIA
CFDA,CAFE,Cà phê đen đá,46433
TDAU,TRA,Trà dâu,30266
TDAO,TRA,Trà đào,39306
CFSU,CAFE,Cà phê sữa,40695
TDCS,TRA,Trà đào cam sả,45379
BACX,CAFE,Bạc Xỉu,44348
TDEN,TRA,Trà Đen,40321
TXAN,TRA,Trà Xanh,30371
TSVA,TRA,Trà Sen Vàng,41935
TDAT,TRA,Trà đào thạch,46466
TTHD,TRA,Trà thanh đào,40356
AMER,CAFE,Americano,46044
LTTN,CAFE,Latte Nóng,31982
CAP,CAFE,Cappuccino,41336
LATD,CAFE,Latte Đá,32907
EPCA,NUCE,Ép Cam,32929
SOBH,SODA,Soda Bạc Hà,40599
YOUD,YOUT,Yogurt Dâu,38513
STDU,SITO,Sinh Tố Dâu,39059
CLCF,CHLA,Chocolate Dâu,39373
DAXC,DAXY,Đá Xay Capuchino,33900
